n,kappa,metric,h,value
12,0.0,mx_derivative,0.35000000000000003,0.5252108203388135
12,0.0,mx_derivative,0.4,0.533900998467504
12,0.0,mx_derivative,0.45,0.5445999837911213
12,0.0,mx_derivative,0.5,0.5579867813204125
12,0.0,mx_derivative,0.55,0.5751899019813362
12,0.0,mx_derivative,0.6000000000000001,0.5980094152777169
12,0.0,mx_derivative,0.65,0.6291099230308679
12,0.0,mx_derivative,0.7000000000000001,0.671942467220791
12,0.0,mx_derivative,0.75,0.7298162478798758
12,0.0,mx_derivative,0.8,0.8031304283130929
12,0.0,mx_derivative,0.8500000000000001,0.8842019907962175
12,0.0,mx_derivative,0.9,0.95251307282581
12,0.0,mx_derivative,0.9500000000000001,0.9788101454563787
12,0.0,mx_derivative,1.0,0.9428835902888171
12,0.0,mx_derivative,1.05,0.8504884899295533
12,0.0,mx_derivative,1.1,0.7288475808073516
12,0.0,mx_derivative,1.1500000000000001,0.6064808497673804
12,0.0,mx_derivative,1.2000000000000002,0.4998227352066369
12,0.0,mx_derivative,1.25,0.4134205649149578
12,0.0,mx_derivative,1.3,0.3455251561303072
12,0.0,mx_derivative,1.35,0.29246849840102307
12,0.0,mx_derivative,1.4000000000000001,0.2506929790607746
12,0.0,mx_derivative,1.4500000000000002,0.2173534028623152
12,0.0,mx_derivative,1.5,0.19033536130569217
12,0.0,mx_derivative,1.55,0.16810831726553843
12,0.0,mx_derivative,1.6,0.14956852818798794
12,0.0,mx_derivative,1.6500000000000001,0.13391384916149107
12,0.0,mx_derivative,1.7000000000000002,0.12055340022982897
12,0.0,mx_derivative,1.75,0.10904488933297074
12,0.0,mx_derivative,1.8,0.09905167022490602
12,0.0,mx_derivative,1.85,0.09031329678491318
12,0.0,mx_derivative,1.9000000000000001,0.08262516578309764
12,0.0,mx_derivative,1.9500000000000002,0.07582426924679098
12,0.0,mx_derivative,2.0,0.06943070058884615
12,0.0,chi_f_per_site,0.025,nan
12,0.0,chi_f_per_site,0.07500000000000001,0.06285865924683333
12,0.0,chi_f_per_site,0.125,0.06349758584907841
12,0.0,chi_f_per_site,0.17500000000000002,0.06448073881160739
12,0.0,chi_f_per_site,0.225,0.06584019232981315
12,0.0,chi_f_per_site,0.275,0.06762358240255974
12,0.0,chi_f_per_site,0.32500000000000007,0.069900970639881
12,0.0,chi_f_per_site,0.375,0.07277857001555428
12,0.0,chi_f_per_site,0.42500000000000004,0.07642541980753338
12,0.0,chi_f_per_site,0.475,0.08112264669516443
12,0.0,chi_f_per_site,0.525,0.08734892271790597
12,0.0,chi_f_per_site,0.5750000000000001,0.09591791972096053
12,0.0,chi_f_per_site,0.625,0.10817590892731875
12,0.0,chi_f_per_site,0.675,0.1262244103805408
12,0.0,chi_f_per_site,0.7250000000000001,0.1529855245735339
12,0.0,chi_f_per_site,0.775,0.1915537424219181
12,0.0,chi_f_per_site,0.8250000000000001,0.24270528708623493
12,0.0,chi_f_per_site,0.875,0.2997870333939047
12,0.0,chi_f_per_site,0.925,0.34455039858979347
12,0.0,chi_f_per_site,0.9750000000000001,0.3542288208127706
12,0.0,chi_f_per_site,1.025,0.3211326225527597
12,0.0,chi_f_per_site,1.0750000000000002,0.2609480663902942
12,0.0,chi_f_per_site,1.125,0.19696482803898052
12,0.0,chi_f_per_site,1.1750000000000003,0.1434219526007098
12,0.0,chi_f_per_site,1.225,0.10372521272267127
12,0.0,chi_f_per_site,1.275,0.07585939446694408
12,0.0,chi_f_per_site,1.3250000000000002,0.05660779109687739
12,0.0,chi_f_per_site,1.375,0.04323048557295975
12,0.0,chi_f_per_site,1.4250000000000003,0.03377545138032081
12,0.0,chi_f_per_site,1.475,0.026944146024271684
12,0.0,chi_f_per_site,1.525,0.021892285692149707
12,0.0,chi_f_per_site,1.5750000000000002,0.018071195220789513
12,0.0,chi_f_per_site,1.625,0.015120295688206081
12,0.0,chi_f_per_site,1.6750000000000003,0.012798506766678474
12,0.0,chi_f_per_site,1.725,0.010941377857081077
12,0.0,chi_f_per_site,1.775,0.009434347785650976
12,0.0,chi_f_per_site,1.8250000000000002,0.008195929798810071
