id,kappa,layers,left_h,right_h,left_branch_id,right_branch_id,comparison_p,actual_switch_pair_checked,actual_switch_pair_sensitive,both_preparations_pass,pair_complete,opposite_direction_checked,opposite_direction_sensitive,actual_switch_pair_sensitive_at_left,actual_switch_pair_sensitive_at_right
k0.3_L4_i14,0.3,4,0.75,0.8,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,stage3_slices/k0.3/L4/descending/seed101/independent_endpoint,0.05,True,True,True,True,,,True,True
k0.3_L4_i15,0.3,4,0.8,0.85,stage3_slices/k0.3/L4/descending/seed101/independent_endpoint,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,0,True,False,True,True,True,False,False,False
k0.3_L4_i15,0.3,4,0.8,0.85,stage3_slices/k0.3/L4/descending/seed101/independent_endpoint,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,0.01,True,True,True,True,True,False,True,True
k0.3_L4_i15,0.3,4,0.8,0.85,stage3_slices/k0.3/L4/descending/seed101/independent_endpoint,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,0.05,True,True,True,True,True,False,True,True
k0.3_L4_i23,0.3,4,1.2,1.25,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,stage3_slices/k0.3/L4/ascending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.3_L4_i23,0.3,4,1.2,1.25,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,stage3_slices/k0.3/L4/ascending/seed307/independent_endpoint,0.01,True,True,True,True,,,False,True
k0.3_L4_i23,0.3,4,1.2,1.25,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,stage3_slices/k0.3/L4/ascending/seed307/independent_endpoint,0.05,True,True,True,True,,,False,True
k0.3_L6_i1,0.3,6,0.1,0.15,stage3_slices/k0.3/L6/descending/seed307/independent_endpoint,stage3_slices/k0.3/L6/ascending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.3_L6_i1,0.3,6,0.1,0.15,stage3_slices/k0.3/L6/descending/seed307/independent_endpoint,stage3_slices/k0.3/L6/ascending/seed307/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.3_L6_i1,0.3,6,0.1,0.15,stage3_slices/k0.3/L6/descending/seed307/independent_endpoint,stage3_slices/k0.3/L6/ascending/seed307/independent_endpoint,0.05,True,False,True,True,,,False,False
k0.3_L6_i10,0.3,6,0.55,0.6,stage3_slices/k0.3/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.3/L6/ascending/seed101/independent_endpoint,0,True,False,True,True,True,False,False,False
k0.3_L6_i10,0.3,6,0.55,0.6,stage3_slices/k0.3/L6/ascending/seed307/independent_endpoint,stage3_slices/k0.3/L6/ascending/seed101/independent_endpoint,0.01,True,True,True,True,True,True,True,True
