cohort,mode,budget,p,method,requested_points,points,MSE_ED_mean,MSE_ED_median,MSE_ED_q10,MSE_ED_q90,MSE_own_clean,bias_squared,sampling_MSE,physical_labelled_points,correct_coordinate_equivalents,wrong_coordinate_equivalents,rejected_coordinate_equivalents,shots_all32,CNOT_shots_all32,one_qubit_gate_shots_all32
window_0.8,equal_gate,300000,0.01,raw,17,17,0.017509787539960554,0.017265180748477188,0.012735590624188952,0.023252876978089337,0.019430532599016698,0.01750423264285842,4.2644998915245584e-07,0,0,0,0,163198912,20879860800,30249398336
window_0.8,equal_gate,300000,0.01,zne_quadratic,17,17,0.0016408808946553827,0.0016096633188907759,0.0012234633850997185,0.002275099078339418,0.002296846647738003,0.001620359920269188,2.028663047016184e-05,0,0,0,0,54400000,20879860800,10083195648
window_0.8,equal_gate,300000,0.01,sv,17,17,0.012726897666042139,0.012522778497171531,0.009140759210891915,0.017339250296860943,0.014386265340856408,0.012686855727711376,1.034753148540391e-05,0,0,0,0,163198912,20879860800,30858673984
window_0.8,equal_gate,300000,0.05,raw,17,17,0.09103566071909516,0.09170750510410614,0.0682679400102392,0.1167652959421478,0.09511496745550463,0.0910336448963026,4.949515012852387e-07,0,0,0,0,163198912,20879860800,30249398336
window_0.8,equal_gate,300000,0.05,zne_quadratic,17,17,0.07775521277272411,0.07718941832874197,0.056602821322240114,0.10231458509880545,0.08165554545617827,0.0777991460724375,2.2528323065420822e-05,0,0,0,0,54400000,20879860800,10083195648
window_0.8,equal_gate,300000,0.05,sv,17,17,0.0907545566613998,0.0913214929791654,0.06813096691977916,0.11667362155888503,0.09483043063056107,0.09075865219993093,1.4583990618473518e-05,0,0,0,0,163198912,20879860800,30858673984
all_B,equal_shots,100000,0,raw,45,45,9.60657855452891e-05,2.6965394158391245e-06,1.3667352206052572e-06,0.00017611974608161324,1.2529054087627125e-06,9.487207949202037e-05,1.2529054087626929e-06,6,6.0,0.0,0.0,144000000,15062400000,21913600000
all_B,equal_shots,100000,0,zne_quadratic,45,45,0.00011654414990267507,3.551805150456932e-05,1.1487882973377103e-05,0.00019542131684502421,1.9666096104844837e-05,9.487207949202041e-05,1.9666096104844848e-05,6,6.0,0.0,0.0,144000000,45186898752,21913588480
all_B,equal_shots,100000,0,sv,45,45,0.0001041722573577496,1.5181191130027154e-05,7.36455931699288e-06,0.0001849482304572225,9.980775370341039e-06,9.48720794920205e-05,9.980775370340954e-06,6,6.0,0.0,0.0,144000000,15062400000,22451192320
all_B,equal_shots,100000,0.01,raw,45,45,0.017541322149783715,0.018751538876041043,0.00790934923062981,0.027162454746727925,0.01814735846084001,0.01754616850824749,1.4713206619520024e-06,6,6.0,0.0,0.0,144000000,15062400000,21913600000
all_B,equal_shots,100000,0.01,zne_quadratic,45,45,0.0015509048259330712,0.0015439482865420736,7.428257566443336e-05,0.0023357115235613482,0.0016987111795857127,0.0015400773768903368,2.4808847462582623e-05,6,6.0,0.0,0.0,144000000,45186898752,21913588480
all_B,equal_shots,100000,0.01,sv,45,45,0.012374165122429429,0.013151141118484203,0.004310220047952662,0.019119314480939266,0.012892679102835366,0.012363059138758846,3.0072351577301085e-05,6,6.0,0.0,0.0,144000000,15062400000,22451192320
all_B,equal_shots,100000,0.05,raw,45,45,0.10511910645610392,0.10526948148077887,0.05557098967211846,0.15929804618255164,0.1065304447291846,0.10511665463553438,1.4729724474995085e-06,6,4.0,0.0,2.0,144000000,15062400000,21913600000
all_B,equal_shots,100000,0.05,zne_quadratic,45,45,0.07864203457606778,0.08054165720614936,0.02859518805875251,0.12375794792335337,0.07997651464481138,0.07865778768850837,2.445942679283542e-05,6,4.0625,0.0,1.9375,144000000,45186898752,21913588480
all_B,equal_shots,100000,0.05,sv,45,45,0.10226570899029416,0.1015738550117214,0.055532597741481095,0.1576576871757342,0.10367574161807093,0.10222370952384535,4.553957159094709e-05,6,4.0,0.0,2.0,144000000,15062400000,22451192320
all_B,equal_gate,100000,0,raw,45,45,9.615583734423257e-05,2.4652342276242106e-06,1.2641972180502267e-06,0.00017636968927519194,1.2451518360312576e-06,9.487207949202037e-05,1.2451518360312548e-06,6,6.0,0.0,0.0,144000000,15062400000,21913600000
all_B,equal_gate,100000,0,zne_quadratic,45,45,0.000157275744086542,0.00010108317236309783,2.605418965278291e-05,0.0002363393638327634,5.8309805231497834e-05,9.487207949202041e-05,5.830980523149779e-05,6,6.0,0.0,0.0,48000960,15062400000,7304667904
all_B,equal_gate,100000,0,sv,45,45,0.00010363441195031421,1.6622989461575632e-05,9.037980144635755e-06,0.0001813636400171603,9.843395178313986e-06,9.48720794920205e-05,9.843395178314058e-06,6,6.0,0.0,0.0,144000000,15062400000,22451192320
all_B,equal_gate,100000,0.01,raw,45,45,0.017544297237704492,0.018699530085401237,0.007891826394962885,0.027236233338586588,0.018151236045745863,0.01754616850824749,1.5165713094974496e-06,6,6.0,0.0,0.0,144000000,15062400000,21913600000
all_B,equal_gate,100000,0.01,zne_quadratic,45,45,0.0016227119758120275,0.001625999661386075,0.00013268734637599013,0.002574953553669146,0.0017699419795799652,0.0015400773768903368,7.37523341104194e-05,6,6.0,0.0,0.0,48000960,15062400000,7304667904
all_B,equal_gate,100000,0.01,sv,45,45,0.012352925872318784,0.013350387640305638,0.0042833310902596075,0.01878177978715244,0.012870216336849084,0.012363059138758846,3.0157270310034667e-05,6,6.0,0.0,0.0,144000000,15062400000,22451192320
all_B,equal_gate,100000,0.05,raw,45,45,0.10511370574927605,0.10524216537955727,0.05547453085045195,0.15921604506135914,0.10652571950307499,0.10511665463553438,1.5349368364369154e-06,6,4.0,0.0,2.0,144000000,15062400000,21913600000
all_B,equal_gate,100000,0.05,zne_quadratic,45,45,0.07863611442852805,0.08032640176866564,0.028202548307834634,0.12375484197974969,0.07997129035735713,0.07865778768850837,7.490018968645713e-05,6,4.25,0.0,1.75,48000960,15062400000,7304667904
all_B,equal_gate,100000,0.05,sv,45,45,0.1023116580497563,0.10191830991883609,0.05491337828586794,0.15747334590401185,0.10371875940316513,0.10222370952384535,4.608592975431843e-05,6,4.0,0.0,2.0,144000000,15062400000,22451192320
all_B,equal_gate,300000,0,raw,45,45,9.56134387997781e-05,1.334887108805048e-06,4.26345854269923e-07,0.00017530171706817263,4.1896043532576234e-07,9.487207949202037e-05,4.1896043532576265e-07,6,6.0,0.0,0.0,431997120,45186898752,65740361728
all_B,equal_gate,300000,0,zne_quadratic,45,45,0.00011635043845302196,3.3786973639510424e-05,9.435716626334058e-06,0.00018765349988988117,1.948032609879622e-05,9.487207949202041e-05,1.9480326098796214e-05,6,6.0,0.0,0.0,144000000,45186898752,21913588480
all_B,equal_gate,300000,0,sv,45,45,9.821322669678346e-05,5.2228362620865e-06,3.1490910212661653e-06,0.0001748957615873867,3.264658776554781e-06,9.48720794920205e-05,3.2646587765547297e-06,6,6.0,0.0,0.0,431997120,45186898752,67353150208
all_B,equal_gate,300000,0.01,raw,45,45,0.01754722782930693,0.018697413765297693,0.007909143371933838,0.027290242870925015,0.018153911828360823,0.01754616850824749,5.099033224144345e-07,6,6.0,0.0,0.0,431997120,45186898752,65740361728
all_B,equal_gate,300000,0.01,zne_quadratic,45,45,0.0015628326423108433,0.0015780317076926457,7.853438247738908e-05,0.0024204373156980394,0.0017080626622891272,0.0015400773768903368,2.397490385187132e-05,6,6.0,0.0,0.0,144000000,45186898752,21913588480
all_B,equal_gate,300000,0.01,sv,45,45,0.012379058974955087,0.013192705932079734,0.0043709045680407075,0.01889278875468593,0.012898782795490388,0.012363059138758846,1.0481865499496848e-05,6,6.0,0.0,0.0,431997120,45186898752,67353150208
all_B,equal_gate,300000,0.05,raw,45,45,0.10511493783427558,0.10525735721068515,0.05554603104013241,0.15928301463866393,0.10652709216018746,0.10511665463553438,5.104934100130674e-07,6,4.0,0.0,2.0,431997120,45186898752,65740361728
all_B,equal_gate,300000,0.05,zne_quadratic,45,45,0.07873260338765375,0.08062866174062613,0.028719882752871868,0.12412212681533767,0.08006832461238106,0.07865778768850837,2.4115906725950503e-05,6,4.09375,0.0,1.90625,144000000,45186898752,21913588480
all_B,equal_gate,300000,0.05,sv,45,45,0.10224417941576913,0.10167579484795099,0.05541857901671834,0.1577750220240579,0.10365467906783277,0.10222370952384535,1.5222393003345717e-05,6,4.0,0.0,2.0,431997120,45186898752,67353150208
