kappa,L,p,feature,h,value,derivative,preparation_failed,branch_switch,branch_checked,branch_sensitive
0.0,4,0.01,mx,1.15,0.5552120766677462,0.3106230323974888,False,False,False,
0.0,4,0.01,mx,1.2,0.5698632336429548,0.27634794078696245,False,False,False,
0.0,4,0.01,mx,1.25,0.5828468707464425,0.24460219197617583,False,False,False,
0.0,4,0.01,mx,1.3,0.5943234528405724,0.2162678495678545,False,False,False,
0.0,4,0.01,mx,1.35,0.604473655703228,0.19162458045810116,False,False,False,
0.0,4,0.01,mx,1.4,0.6134859108863826,0.17028628766663445,False,False,False,
0.0,4,0.01,mx,1.45,0.6215022844698913,0.15178748884326865,False,False,False,
0.0,4,0.01,mx,1.5,0.6286646597707095,0.13587484965345897,False,False,False,
0.0,4,0.01,mx,1.55,0.6350897694352372,0.122100409152468,False,False,False,
0.0,4,0.01,mx,1.6,0.6408747006859563,0.11025078691803536,False,False,False,
0.0,4,0.01,mx,1.65,0.6461148481270409,0.09975466678140954,False,False,False,
0.0,4,0.01,mx,1.7,0.6508501673640972,0.09059450748247233,False,False,False,
0.0,4,0.01,mx,1.75,0.6551742988752882,0.082540563482425,False,False,False,
0.0,4,0.01,mx,1.8,0.6591042237123397,0.0752897420307157,False,False,False,
0.0,4,0.01,mx,1.85,0.6627032730783597,0.06907050084891964,False,False,False,
0.0,4,0.01,mx,1.9,0.6660112737972317,0.06321545184828281,False,False,False,
0.0,4,0.01,mx,1.95,0.6690248182631878,0.058474036217819325,False,False,False,
0.0,4,0.01,mx,2.0,0.6718586774190136,0.05488033001521231,False,False,False,
0.0,4,0.05,order,0.05,0.129447026887884,0.00035506886332425935,False,False,False,
0.0,4,0.05,order,0.1,0.1294269919533372,0.0004463285185485333,False,False,False,
0.0,4,0.05,order,0.15,0.12940239403602916,0.0005367087322651898,False,False,False,
0.0,4,0.05,order,0.2,0.12937332108011068,0.0006253286048027995,False,False,False,
0.0,4,0.05,order,0.25,0.12933986117554888,0.0007123185402195809,False,False,False,
0.0,4,0.05,order,0.3,0.1293020892260887,0.0007982420626313491,False,False,False,
0.0,4,0.05,order,0.35,0.12926003696928573,0.0008846576875958245,False,False,False,
0.0,4,0.05,order,0.4,0.12921362345732912,0.0009741999033408,False,False,False,
0.0,4,0.05,order,0.45,0.12916261697895165,0.001071780672463607,False,False,False,
0.0,4,0.05,order,0.5,0.12910644539008276,0.001185466710922789,False,False,False,
0.0,4,0.05,order,0.55,0.12904407030785936,0.0013264805403974123,False,False,False,
0.0,4,0.05,order,0.6,0.128973797336043,0.0015092065992157178,False,False,False,
0.0,4,0.05,order,0.65,0.1288931496479378,0.0017491917562775239,False,False,False,
0.0,4,0.05,order,0.7,0.12879887816041524,0.0020581936009937962,False,False,False,
0.0,4,0.05,order,0.75,0.12868733028783844,0.0024369906447796463,False,False,False,
0.0,4,0.05,order,0.8,0.12855517909593728,0.0028666586286667517,False,False,False,
0.0,4,0.05,order,0.85,0.12840066442497175,0.0033026699579723484,False,False,False,
0.0,4,0.05,order,0.9,0.12822491210014006,0.00367756460680968,False,False,False,
0.0,4,0.05,order,0.95,0.12803290796429076,0.004002600827163416,False,False,False,
0.0,4,0.05,order,1.0,0.15416374111062392,,False,True,True,True
0.0,4,0.05,order,1.05,0.15302366161818862,0.022972381512823103,False,False,False,
0.0,4,0.05,order,1.1,0.15188251422924837,0.022673514044787346,False,False,False,
0.0,4,0.05,order,1.15,0.15075631021370992,0.022216361435487997,False,False,False,
0.0,4,0.05,order,1.2,0.14966087808569956,0.021465488766057694,False,False,False,
0.0,4,0.05,order,1.25,0.14860976133710416,0.020487706581417298,False,False,False,
0.0,4,0.05,order,1.3,0.14761210742755784,0.01936881656081879,False,False,False,
0.0,4,0.05,order,1.35,0.14667287968102227,0.01819070616559637,False,False,False,
0.0,4,0.05,order,1.4,0.14579303681099823,0.0170299388369346,False,False,False,
0.0,4,0.05,order,1.45,0.1449698857973288,0.01591541594290824,False,False,False,
0.0,4,0.05,order,1.5,0.1442014952167074,0.014861441646334184,False,False,False,
0.0,4,0.05,order,1.55,0.1434837416326954,0.01388488102578056,False,False,False,
0.0,4,0.05,order,1.6,0.14281300711412934,0.012960564687500176,False,False,False,
0.0,4,0.05,order,1.65,0.1421876851639454,0.012133114292925962,False,False,False,
0.0,4,0.05,order,1.7,0.1415996956848367,0.011388004707775234,False,False,False,
0.0,4,0.05,order,1.75,0.14104888469316787,0.010699711113235644,False,False,False,
0.0,4,0.05,order,1.8,0.14052972457351315,0.01017863468064184,False,False,False,
0.0,4,0.05,order,1.85,0.1400310212251037,0.009470715232474669,False,False,False,
0.0,4,0.05,order,1.9,0.1395826530502657,0.008980855662516607,False,False,False,
0.0,4,0.05,order,1.95,0.139132935658852,0.008609144599025509,False,False,False,
0.0,4,0.05,order,2.0,0.13872173859036316,0.007838738140528712,False,False,False,
0.0,4,0.05,mx,0.05,-0.0014055750918682709,0.006968666930866557,False,False,False,
0.0,4,0.05,mx,0.1,-0.0010567750032858608,0.006983336612429856,False,False,False,
0.0,4,0.05,mx,0.15,-0.0007072414306252854,0.007002050570806441,False,False,False,
0.0,4,0.05,mx,0.2,-0.00035656994620521644,0.007029137990056272,False,False,False,
0.0,4,0.05,mx,0.25,-4.3276316196583135e-06,0.0070658917037003215,False,False,False,
0.0,4,0.05,mx,0.3,0.0003500192241648154,0.00711575216090588,False,False,False,
0.0,4,0.05,mx,0.35,0.0007072475844709295,0.007185216444193943,False,False,False,
0.0,4,0.05,mx,0.4,0.00106854086858421,0.007284566943246014,False,False,False,
0.0,4,0.05,mx,0.45,0.0014357042787955313,0.007429209753453158,False,False,False,
0.0,4,0.05,mx,0.5,0.0018114618439295255,0.00763963769314331,False,False,False,
0.0,4,0.05,mx,0.55,0.0021996680481098626,0.007940712690059686,False,False,False,
