L,p,h,m_pi2,strongest_other,other_q_over_pi,competing_excess,near_peaks,preparation_failed
4,0.01,2.0,0.1510954007832379,0.1417795448625159,0.25,-0.00931585592072201,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.1417795448625159, ""gap_from_max"": 0.00931585592072201, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1510954007832379, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.05,0.05,0.15302512678486477,0.11776600766123264,0.25,-0.035259119123632124,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15302512678486477, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.05,0.1,0.15314974712098978,0.11794764490728045,0.25,-0.03520210221370933,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15314974712098978, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.05,0.15,0.15318660087749655,0.11818776910634884,0.25,-0.03499883177114771,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15318660087749655, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.05,0.2,0.15304084198303922,0.11853914417051054,0.25,-0.03450169781252868,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15304084198303922, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.05,0.25,0.15274758131740465,0.11897453836680218,0.25,-0.033773042950602475,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15274758131740465, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.05,0.3,0.15228872231305352,0.11951516928786719,0.25,-0.03277355302518632,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15228872231305352, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.05,0.35,0.15164994574955917,0.12017217591664837,0.25,-0.0314777698329108,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15164994574955917, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.05,0.4,0.15081437355641714,0.1209597832012288,0.25,-0.029854590355188337,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15081437355641714, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.05,0.45,0.14976361869897178,0.1218913506033559,0.25,-0.027872268095615882,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.14976361869897178, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",False
4,0.05,0.5,0.1484876019201586,0.12296878695168008,0.25,-0.025518814968478534,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1484876019201586, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.05,0.55,0.139120849130952,0.12311973887697704,0.25,-0.01600111025397495,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.139120849130952, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.05,0.6,0.13838972199221414,0.12393324194090014,0.25,-0.014456480051314002,"[{""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.13838972199221414, ""gap_from_max"": 0.0, ""unique_global_max"": true}]",True
4,0.05,0.65,0.13759258638856256,0.12490188399553921,0.25,-0.012690702393023348,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.12490188399553921, ""gap_from_max"": 0.012690702393023348, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.13759258638856256, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",True
4,0.05,0.7,0.1368544125306449,0.1259067317738296,0.25,-0.010947680756815292,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.1259067317738296, ""gap_from_max"": 0.010947680756815292, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1368544125306449, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",True
4,0.05,0.75,0.13624332111676152,0.12683661534125099,0.25,-0.009406705775510532,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.12683661534125099, ""gap_from_max"": 0.009406705775510532, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.13624332111676152, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",True
4,0.05,0.8,0.13575501786394334,0.12762242113956393,0.25,-0.00813259672437941,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.12762242113956393, ""gap_from_max"": 0.00813259672437941, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.13575501786394334, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",True
4,0.05,0.85,0.1353500225084839,0.12824279896258722,0.25,-0.007107223545896685,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.12824279896258722, ""gap_from_max"": 0.007107223545896685, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1353500225084839, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",True
