method,kappa,h,p,new_pass,old_pass,common_pass,new_cnots,old_cnots,epsilon_c_new,epsilon_c_old,epsilon_sf_new,epsilon_sf_old,epsilon_mx_new,epsilon_mx_old
B3,0.1,0.8,0,True,True,True,95,192,0.00037598209341926925,2.028061504488754e-05,0.00010030588398510232,8.643237486838373e-06,3.623837172694877e-05,1.5870705893927806e-07
B3,0.1,0.9,0,True,True,True,96,192,0.0008613290094492965,2.6146090433720737e-05,0.00027911613197395546,1.1433227983914662e-05,0.00012453618564667313,2.955529032622195e-08
B3,0.1,1.0,0,True,True,True,95,192,0.0032813730734316815,1.3279490351569834e-05,0.0012854059510227778,5.3762373994348245e-06,0.00037058739593376355,9.572438147698037e-07
B3,0.1,1.1,0,True,True,True,96,192,0.0031745390770074877,4.0850432834194095e-06,0.0015879043121969083,1.2862933030099999e-06,0.0005213788354899718,1.1294193562605415e-06
B3,0.1,1.2,0,True,True,True,96,192,0.0019728235835181074,8.288663951916408e-06,0.0007513287184900963,3.8481921763589e-06,0.0001864788085298441,3.534315151654255e-07
B3,0.1,1.3,0,True,True,True,64,192,0.007134898013859303,8.385976161914832e-06,0.003374806070077896,4.662121218412807e-06,0.0007599728395617511,1.0692467858897103e-06
B3,0.1,1.4,0,True,True,True,63,192,0.006834378324716513,6.709679106133015e-06,0.0031090105155699987,3.1019659154640777e-06,0.000601170728192657,5.60934005799929e-07
B3,0.1,1.5,0,True,True,True,63,192,0.004944643428916082,5.330327363113618e-06,0.00195283679484215,2.232675320179567e-06,0.00029278609160532376,3.555512149144846e-07
B3,0.1,1.6,0,True,True,True,63,192,0.004614205006908196,2.7462198995756304e-06,0.0019664125357927442,1.1178892346808134e-06,0.00027391049413361124,3.905136850557156e-07
B3,0.1,1.7,0,True,True,True,63,192,0.0016954933727380272,3.3006232422194692e-06,0.0008779772230491645,6.088702042550409e-07,0.00011230099115044911,1.3373635976421383e-08
B3,0.1,1.8,0,True,True,True,63,192,0.0020683288276343408,7.76219897290556e-06,0.0007864746831409697,3.1903577329961408e-06,7.467755693202349e-05,1.3779776808497957e-07
B3,0.1,1.9,0,True,True,True,63,192,0.0014066909653017955,3.0062362542798704e-06,0.0005438811551276568,1.5446660636408982e-06,4.3820662108284836e-05,1.9635877668289226e-07
B3,0.1,2.0,0,True,True,True,63,192,0.000995908333459524,3.040698952943427e-06,0.00035132659524564347,1.6503898651598625e-06,1.970305231557834e-05,1.1838582769652106e-07
B3,0.15,0.1,0,True,True,True,31,192,2.546616479115471e-05,8.637379567133507e-08,1.9238576898006343e-05,2.687344591301155e-08,0.00013300019278761344,1.5240538978056328e-07
B3,0.15,0.2,0,True,True,True,31,192,0.00043809038180009363,3.185171547626098e-07,0.00033381298109502744,1.137779936932759e-07,0.0011542852496534556,6.514156586368003e-08
B3,0.15,0.3,0,True,True,True,63,192,0.0009714746597975221,6.577153852660444e-07,0.0007050874036446109,1.5033710981660064e-07,0.0016420639649397661,4.3960620071947787e-07
B3,0.15,0.4,0,True,True,True,96,192,0.0004593972202128205,2.9351670922661555e-06,0.00027906552036571775,1.1425395157749207e-06,0.00031731249407146445,1.043300410202841e-06
B3,0.15,0.5,0,True,True,True,96,192,0.000435983237279558,3.7359393869618174e-06,0.00019160370549908823,2.060472772513755e-06,6.760592022625467e-05,1.5254457843560942e-06
B3,0.15,0.6,0,True,True,True,96,192,0.0005010181955402704,7.743661115555689e-06,0.00027546518616883287,4.372776814198787e-06,0.00011586390912698974,2.4037790699038553e-06
B3,0.15,0.7,0,True,True,True,127,192,0.0005098208438522045,1.5104356232309435e-05,0.000200218403375918,8.10776820603376e-06,1.0128764030392645e-05,9.934316475002092e-07
B3,0.15,0.8,0,True,True,True,96,192,0.002558939814262695,4.437176634286555e-06,0.0009701755816180491,1.6723461768314296e-06,0.00039586301492688936,2.675564379051032e-06
B3,0.15,0.9,0,True,True,True,127,192,0.0007085183869974254,1.3791215403957668e-05,0.00024377740213743504,4.896910523910503e-06,6.429597294754785e-05,2.226635615110162e-06
B3,0.15,1.0,0,True,True,True,95,192,0.0027433504624126692,8.046340946643582e-06,0.0011117863834743669,2.1840820790541837e-06,0.0002674825250208457,1.4177019171945915e-06
B3,0.15,1.1,0,True,True,True,96,192,0.0016006455546760529,2.0267285753258757e-05,0.0006403711413662805,1.0355763177039012e-05,0.00013152804955429698,2.616813093103687e-06
B3,0.15,1.2,0,True,True,True,64,192,0.009862575546552746,4.9918443680851965e-06,0.004876885514243368,2.6320039647198534e-06,0.0010403434794516997,5.393250279706052e-07
B3,0.15,1.3,0,True,True,True,63,192,0.0029551063391386953,9.98856894852268e-06,0.0017330669119552944,4.601995129083214e-06,0.00037226447268479124,5.906113731413143e-07
B3,0.15,1.4,0,True,True,True,63,192,0.0017688282484912,2.1890738103741425e-06,0.0010016021614553672,5.474205601874171e-07,0.00015769947229893333,1.8060726580948483e-07
B3,0.15,1.5,0,True,True,True,64,192,0.0010895643769425756,1.1705812650898706e-06,0.0005755558543263373,6.584877717819015e-07,7.637572391705483e-05,1.1690321477519916e-07
B3,0.15,1.6,0,True,True,True,63,192,0.0013162920943934793,5.145191187883036e-06,0.0007088818953825404,3.4001135251482406e-06,8.477984261623384e-05,3.68382889193164e-07
