n,kappa,h,ref,seed,method,cnots,delta_e,fidelity,joint_pass
8,0.45,1.3,antiphase,11,cost,6,1.0121222995690569,0.02706875503867532,False
8,0.45,1.3,antiphase,11,cost,16,0.4065178597672028,0.36994516037630165,False
8,0.45,1.3,antiphase,11,cost,32,0.027776245366064378,0.9539165848306238,False
8,0.45,1.3,antiphase,11,cost,64,0.0008206471364600176,0.9988365193325834,True
8,0.45,1.3,antiphase,11,cost,96,6.283356710801158e-05,0.999950515033641,True
8,0.45,1.3,antiphase,11,cost,128,1.1742624492550036e-05,0.9999920216343613,True
8,0.45,1.3,antiphase,11,cost,128,1.1742624492550036e-05,0.9999920216343613,True
8,0.85,1.1,plus,11,cost,0,0.24804375416061775,0.7246750271766408,False
8,0.85,1.1,plus,11,cost,16,0.07573459814068628,0.8417692420551454,False
8,0.85,1.1,plus,11,cost,32,0.020292480452313022,0.959080993026014,False
8,0.85,1.1,plus,11,cost,64,0.0028603279253578417,0.9966690950936664,False
8,0.85,1.1,plus,11,cost,96,0.001348729679404359,0.9984898533575716,False
8,0.85,1.1,plus,11,cost,128,0.00039914934401874547,0.999653552465372,True
8,0.85,1.1,plus,11,cost,128,0.00039914934401874547,0.999653552465372,True
8,0.05,1.9,antiphase,11,cost,6,1.9791507058432438,0.01012954757827211,False
8,0.05,1.9,antiphase,11,cost,16,1.0421164394102647,0.2297332862628642,False
8,0.05,1.9,antiphase,11,cost,32,0.7724447657434172,0.2549115699783741,False
8,0.05,1.9,antiphase,11,cost,64,0.0006101255530683858,0.999195851306315,True
8,0.05,1.9,antiphase,11,cost,96,1.2090228929118041e-05,0.9999932403347018,True
8,0.05,1.9,antiphase,11,cost,128,2.1198131250343977e-06,0.9999988645532863,True
8,0.05,1.9,antiphase,11,cost,128,2.1198131250343977e-06,0.9999988645532863,True
8,0.5,0.15,antiphase,37,fixed,6,0.07108108440839944,0.001959175486408019,False
8,0.5,0.15,antiphase,37,fixed,22,0.07108108440839961,0.0019591754864080172,False
8,0.2,0.2,plus,11,cost,0,0.6126067070249535,0.022258004977941566,False
8,0.2,0.2,plus,11,cost,16,0.14753421073015882,0.4774286516532277,False
8,0.2,0.2,plus,11,cost,64,4.796484279645519e-06,0.9999828645549255,True
8,0.2,0.2,plus,11,cost,116,2.8570370513847365e-08,0.9999999622711314,True
8,0.85,1.0,antiphase,11,cost,6,0.41478667160435234,0.19355897754105636,False
