kappa,h,p,estimator,comparison,budget,equal_CNOT_shots_completed,zero_CNOT_control,actual_G,actual_shots,archive,sha256,scientific_fingerprint,disposition
0.0,0.8875,0.05,zne_quadratic,equal_shots,100000,False,False,28799808,100000,results/stage6_followup_v1/measurements/84f6adb0f5aa32d7207297761755076d79380c81fa3c553060e4032bfa2e2f22.npz,e2fa89f16eb3c510470102f48cb58fa38e26cc054c432572a11acf17b2b60423,84f6adb0f5aa32d7207297761755076d79380c81fa3c553060e4032bfa2e2f22,newly_executed
0.0,0.8875,0.05,sv,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/a010d4a9cb17ffa7c3b48c6f7ca1ead7891dc2c169bbadc08d7bc21f7c97b0ef.npz,a559a4c20a3bc1ca165b97a6fbbe577ff349e83160ee4b3d0437135033e3c245,a010d4a9cb17ffa7c3b48c6f7ca1ead7891dc2c169bbadc08d7bc21f7c97b0ef,newly_executed
0.0,0.8875,0,raw,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/95170e97c66f14617393b7f841dfd6acee95821c73db7bac16754aadc170d7ab.npz,abe97410c847f6ea0d68b9fa81ed740390674f7f2df9d25aca2335e393d456ec,95170e97c66f14617393b7f841dfd6acee95821c73db7bac16754aadc170d7ab,newly_executed
0.0,0.8875,0,zne_quadratic,equal_gate,100000,True,False,9600000,33334,results/stage6_followup_v1/measurements/ba1588a56bbac6f73323b145e8193def0ef8e91d1f3f773aba3ffe93d566bbd8.npz,b2f66d96f9e9c7dac735380f22b95511315e9f4761b4bced59d694f2f6758a73,ba1588a56bbac6f73323b145e8193def0ef8e91d1f3f773aba3ffe93d566bbd8,newly_executed
0.0,0.8875,0,sv,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/e82d0c8c4dc9256c70857c4653ad5bb6be8191a412f47cdbe3f3cac60c421078.npz,528d564ec46e7ac0eea9d99ae5056286ebe65494025c309963f4be0e90d2da09,e82d0c8c4dc9256c70857c4653ad5bb6be8191a412f47cdbe3f3cac60c421078,newly_executed
0.0,0.8875,0.01,raw,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/8422061fa5e25392218618b54e7f263e39a67bd1847ceeeb1f37a1237edb2af7.npz,16ec7ea784e4910b5f8246aa59e79842c0f2fde663a4cfe4250e1513ee1a2f4a,8422061fa5e25392218618b54e7f263e39a67bd1847ceeeb1f37a1237edb2af7,newly_executed
0.0,0.8875,0.01,zne_quadratic,equal_gate,100000,True,False,9600000,33334,results/stage6_followup_v1/measurements/1a0936eb65832ccc6ee7abc7d5461b3e86e9f1efb466c44a2ea59996bcf7faf5.npz,9a5de3f22c14b01203de75b961ca070aa3f6ced636e0f2ba595a900792a371cd,1a0936eb65832ccc6ee7abc7d5461b3e86e9f1efb466c44a2ea59996bcf7faf5,newly_executed
0.0,0.8875,0.01,sv,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/e37d7893271d3742be726ebe6e97516295531f9f0dae98aac134a6376d7722e9.npz,e0c825c43df04afc5f9882b83eb51001e5e49cdf262c4c04557a832b2be2b140,e37d7893271d3742be726ebe6e97516295531f9f0dae98aac134a6376d7722e9,newly_executed
0.0,0.8875,0.05,raw,equal_gate,100000,True,False,9600000,100000,results/stage6_followup_v1/measurements/52f2a8737a574b58a7fe94e053a82920cb5e73eaf5d26babac5ed06227fbdec9.npz,6c5c52f82d705c878f563279ce002697a67e97e136f9e60947820b0261347e68,52f2a8737a574b58a7fe94e053a82920cb5e73eaf5d26babac5ed06227fbdec9,newly_executed
0.0,0.8875,0.05,zne_quadratic,equal_gate,100000,True,False,9600000,33334,results/stage6_followup_v1/measurements/8ac6f5024945016cc1f8c0fb95169802c4ec9dc3c6fda0b0bd68774bc1b713ec.npz,284fe9a9c8c90761a19ebd566509f544741ee4b6f2494c1e3a62cbec0f2b0274,8ac6f5024945016cc1f8c0fb95169802c4ec9dc3c6fda0b0bd68774bc1b713ec,newly_executed
