window,chain,p,feature,stride,h,value,derivative
W1,W1/ascending/seed307,0.01,mx,1,0.9625,0.3524748964538381,0.46250133011194094
W1,W1/ascending/seed307,0.01,mx,1,0.975,0.35720824324151274,0.37773102423190785
W1,W1/ascending/seed307,0.01,mx,1,0.9875,0.36191817205963583,0.3761229145999412
W1,W1/ascending/seed307,0.01,mx,1,1.0,0.3666113161065113,0.37416024233937506
W1,W1/ascending/seed307,0.01,mx,1,1.0125,0.3712721781181202,0.44755906303690374
W1,W1/ascending/seed307,0.01,mx,1,1.025,0.37780029268243387,0.4409916286593081
W1,W1/ascending/seed307,0.01,mx,1,1.0375,0.3822969688346029,0.3590197553899177
W1,W1/ascending/seed307,0.01,mx,1,1.05,0.38677578656718187,0.35452911477507776
W1,W1/ascending/seed307,0.01,mx,1,1.0625,0.3911601967039798,0.34789620166247204
W1,W1/ascending/seed307,0.01,mx,1,1.075,0.39547319160874367,0.3421681223127866
W1,W1/ascending/seed307,0.01,mx,1,1.0875,0.39971439976179945,0.33624250133714284
W1,W1/ascending/seed307,0.01,mx,1,1.1,0.4038792541421723,0.41323112856713173
W1,W1/ascending/seed307,0.01,mx,1,1.1125,0.4100451779759778,0.40215079126588904
W1,W1/ascending/seed307,0.01,mx,1,1.125,0.4139330239238195,0.31121840092188435
W1,W1/ascending/seed307,0.01,mx,1,1.1375,0.41782563799902483,0.30508070841909074
W1,W1/ascending/seed307,0.01,mx,1,1.15,0.4215600416342967,0.29513270184978424
W1,W1/ascending/seed307,0.01,mx,1,1.1625,0.4252039555452694,0.2877672563271396
W1,W1/ascending/seed307,0.01,mx,1,1.175,0.42875422304247524,0.3553965542140638
W1,W1/ascending/seed307,0.01,mx,1,1.1875,0.434088869400621,0.34464504720329003
W1,W1/ascending/seed307,0.01,mx,1,1.2,0.43737034922255746,0.2586005329826939
W1,W1/ascending/seed307,0.01,mx,1,1.2125,0.44055388272518836,0.263551072910591
W1,W1/ascending/seed307,0.01,mx,1,1.225,0.4439591260453223,0.2563160169462293
W1,W1/ascending/seed307,0.01,mx,1,1.2375,0.44696178314884416,0.24028403262893505
W1,W1/ascending/seed307,0.01,mx,1,1.25,0.44996622686104565,0.24042696132330832
W1,W1/ascending/seed307,0.05,order,4,0.75,0.13133046627539038,-0.0022184366124360366
W1,W1/ascending/seed307,0.05,order,4,0.8,0.13142754862224465,-0.0016648572617361523
W1,W1/ascending/seed307,0.05,order,4,0.85,0.13149695200156397,-0.001235210484714644
W1,W1/ascending/seed307,0.05,order,4,0.9,0.13155106967071614,7.194893096929e-05
W1,W1/ascending/seed307,0.05,order,4,0.95,0.131489757108467,0.000832482762580522
