n,group,kappa,h,candidates,historical_pass,S0_pass,S1_pass,S2_pass,oracle_available,S0_cnots,S1_cnots,S2_cnots,S2_unresolved,category,S2_fidelity,S2_energy_error,S2_w0
8,map,0.4,1.2,17,True,True,True,True,True,96,128,127,False,candidate_available,0.9999917694091957,1.0395104862892524e-05,0.9999939910321562
8,map,0.4,1.3,16,True,True,True,True,True,96,128,128,False,candidate_available,0.9999964302088165,4.902183111887837e-06,0.9999971647512387
8,map,0.4,1.4,18,True,True,True,True,True,64,128,128,False,candidate_available,0.9999977261167915,3.5236618978196077e-06,0.9999981822511423
8,map,0.4,1.5,16,True,True,True,True,True,96,128,127,False,candidate_available,0.9999984841300784,2.529985040355953e-06,0.9999989167267777
8,map,0.4,1.6,16,True,True,True,True,True,64,128,127,False,candidate_available,0.9999983669891329,2.6981955176808015e-06,0.9999986245928627
8,map,0.4,1.7,17,True,True,True,True,True,95,127,127,False,candidate_available,0.9999989836618746,1.8207622254351463e-06,0.9999991130002819
8,map,0.4,1.8,18,True,True,True,True,True,64,128,128,False,candidate_available,0.9999995256908248,9.225157970860209e-07,0.9999996199521994
8,map,0.4,1.9,18,True,True,True,True,True,64,127,127,False,candidate_available,0.999999402464494,1.1509201218729004e-06,0.9999994917943651
8,map,0.4,2.0,17,True,True,True,True,True,95,128,127,False,candidate_available,0.9999991891212351,1.6815241274947823e-06,0.9999994290807717
8,map,0.45,0.1,18,True,True,True,True,True,96,128,127,False,candidate_available,0.9999726642074529,1.3587561864536468e-06,0.9999878991682598
8,map,0.45,0.2,18,False,False,False,False,False,128,128,128,False,no_qualified_candidate_budget_reached,0.9960285091534438,0.0006291409675603932,0.9979725686109573
8,map,0.45,0.3,18,True,True,True,True,True,128,128,128,False,candidate_available,0.9990996880948215,0.0002682814848662396,0.9993047898691183
8,map,0.45,0.4,17,True,True,True,True,True,128,128,128,False,candidate_available,0.9995243313180058,0.00025038923443099215,0.9996431405261028
8,map,0.45,0.5,18,True,True,True,True,True,128,128,128,False,candidate_available,0.9996037326731486,0.00019256548180823785,0.9997470150502796
8,map,0.45,0.6,17,True,True,True,True,True,127,127,127,False,candidate_available,0.9997972743657282,0.00011314824367070209,0.9998998145565052
8,map,0.45,0.7,18,True,True,True,True,True,127,128,128,False,candidate_available,0.9998656991600394,0.00010819929963512553,0.9998961955816836
8,map,0.45,0.8,18,True,True,True,True,True,96,128,128,False,candidate_available,0.999932501241948,4.985344295649341e-05,0.9999509075528729
8,map,0.45,0.9,18,True,True,True,True,True,95,128,128,False,candidate_available,0.9999690963986966,3.469455731952564e-05,0.9999854479059045
8,map,0.45,1.0,18,True,True,True,True,True,96,128,128,False,candidate_available,0.9999814582186469,2.1646069900516096e-05,0.9999894327786436
8,map,0.45,1.1,17,True,True,True,True,True,96,128,128,False,candidate_available,0.9999915497916888,1.0749409778076924e-05,0.999993477075013
8,map,0.45,1.2,17,True,True,True,True,True,96,128,128,False,candidate_available,0.9999930477480514,9.659841256226542e-06,0.9999958225245871
8,map,0.45,1.3,18,True,True,True,True,True,95,128,128,False,candidate_available,0.9999953682235511,6.238021396320903e-06,0.9999964408779367
8,map,0.45,1.4,17,True,True,True,True,True,95,127,127,False,candidate_available,0.9999971947489046,4.075086311505771e-06,0.999998284884712
8,map,0.45,1.5,18,True,True,True,True,True,95,128,128,False,candidate_available,0.9999974082544518,4.253291775890844e-06,0.9999982499200908
8,map,0.45,1.6,17,True,True,True,True,True,64,128,128,False,candidate_available,0.9999978617077467,3.68686669482976e-06,0.9999982892787721
8,map,0.45,1.7,18,True,True,True,True,True,64,128,128,False,candidate_available,0.9999984513435255,2.795967264379584e-06,0.9999989045297889
8,map,0.45,1.8,17,True,True,True,True,True,95,128,128,False,candidate_available,0.9999986477665398,2.600709605005136e-06,0.9999990320613239
8,map,0.45,1.9,17,True,True,True,True,True,64,128,128,False,candidate_available,0.9999991628511498,1.6591646136987492e-06,0.9999993659948698
8,map,0.45,2.0,17,True,True,True,True,True,95,127,127,False,candidate_available,0.9999987523879718,2.49822658560106e-06,0.9999990305274573
