n,kappa,h,m0,map,mx,binder,antiphase_binder,sector_gap,residual,ambiguous,source,level,bc
8,0.45,1.45,0.15176545511356337,0.13218892802252155,0.9248349696587034,0.09332188422688925,0.11356326122226257,4.102840696733004,9.921443938742454e-15,False,results/stage6_v1/reference_atlas/cache/f9197907ee03b3c24a26dd5ef605f83110794a55e8524c4affe28a14d80aab3c.npz,RN,PBC
8,0.45,1.5,0.1513830145377749,0.13274883000500745,0.9285124070413004,0.09391564809563036,0.11611023615151461,4.28238809188257,1.0772381932382956e-14,False,results/stage6_v1/reference_atlas/cache/ce58b13bb97be9e332d296a6a122b37399f15d265cc064455781920aee738f46.npz,RN,PBC
8,0.45,1.55,0.15100011373274932,0.1332389880025775,0.9319213972238864,0.09443797872925097,0.11840728024734071,4.462931110848029,1.1769411394634484e-14,False,results/stage6_v1/reference_atlas/cache/8cb6d89f7ac9395c955a25a452ee3db9e10b2c43702fb3fa17c1eb37d4d6325b.npz,RN,PBC
8,0.45,1.6,0.1506187208014652,0.13366749058220936,0.9350879399404812,0.09489784830567105,0.12048088844028393,4.644399584516119,7.479908773269026e-15,False,results/stage6_v1/reference_atlas/cache/25815ae4f9ac0bde01c802d2420a9216444f35356d6fad5c009ac59a4038cd7c.npz,RN,PBC
8,0.45,1.65,0.1502403624510403,0.13404142852825307,0.938034928200177,0.0953028602582332,0.12235454563988746,4.826729581525479,1.6514777406083205e-14,False,results/stage6_v1/reference_atlas/cache/37579b228c071bbdd420f6aa48f85cd6828a714c6da693279b1c8bebcc0f1b41.npz,RN,PBC
8,0.45,1.7,0.14986621525962218,0.13436702326521316,0.940782580986026,0.09565949727880618,0.12404905998271998,5.009862776036256,1.2936897316097503e-14,False,results/stage6_v1/reference_atlas/cache/45688ea408a8976989cff242c8d52eed5f2a1ac9370cb8821fb5f92443fb8b57.npz,RN,PBC
8,0.45,1.75,0.1494971774999363,0.13464973922378456,0.9433488091967631,0.0959733183852689,0.1255828705408384,5.193745880303023,4.849527372528318e-15,False,results/stage6_v1/reference_atlas/cache/19665c4752b6978dfcb6006fd9a767918ccb14b9f3f9a365abaf041735b0b2c3.npz,RN,PBC
8,0.45,1.8,0.1491339258389196,0.13489438171430956,0.9457495256481724,0.0962491164353233,0.12697232603625896,5.378330137135247,9.026410200700671e-15,False,results/stage6_v1/reference_atlas/cache/87f7b417b874b86523e4f2c4be75d8f6ac16ded3ced8943d862613339bb9fdd7.npz,RN,PBC
8,0.45,1.85,0.14877696024121367,0.13510518192424267,0.947998908243643,0.09649104478549486,0.1282319340993877,5.5635708669000685,7.243301262064095e-15,False,results/stage6_v1/reference_atlas/cache/fa36d5af863512f7cdbfd6097f321fb7957b38235f26872fecaba8994778b21f.npz,RN,PBC
8,0.45,1.9,0.14842663964386807,0.13528587059877,0.9501096239346691,0.0967027197620256,0.12937458228303045,5.749427063700981,1.4857298038942895e-14,False,results/stage6_v1/reference_atlas/cache/900fad1181007f3f9fe8946a3810556ea3069c9dfc2d00566124bb6ef08884eb.npz,RN,PBC
8,0.45,1.95,0.14808321038709166,0.1354397418488495,0.9520930198208379,0.09688730407050139,0.1304117329056056,5.935861035584477,9.856942418135923e-15,False,results/stage6_v1/reference_atlas/cache/d4cb95e03488b28f1b4f77f7ae2feb9c6741262bae324af6049f31b154bab245.npz,RN,PBC
